Localidad,Latitud,Longitud,Region,Provincia,Comuna,Superficie
San Pedro,-33.8943545,-71.4563149,Metropolitana de Santiago,Melipilla,San Pedro,786.54
San Pedro de Atacama,-22.910832,-68.2001376,Antofagasta,El Loa,San Pedro de Atacama,23612.8
San Pedro de la Paz,-36.8414183,-73.1039909,Biobío,Concepción,San Pedro de la Paz,112.87
San Rosendo,-37.2631356,-72.7239564,Biobío,Biobío,San Rosendo,94.43
San Vicente de Tagua Tagua,-34.4392675,-71.07679,Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,484.7
Santa Cruz,-34.6403243,-71.3661297,Libertador General Bernardo O'Higgins,Colchagua,Santa Cruz,393.27
Santa Juana,-37.1737794,-72.94259,Biobío,Concepción,Santa Juana,777.43
Santa María,-32.7478749,-70.6567375,Valparaíso,San Felipe de Aconcagua,Santa María,165.77
Santiago,-33.4377756,-70.6504502,Metropolitana de Santiago,Santiago,Santiago,23.18
Sierra Gorda,-22.8916766,-69.3200101,Antofagasta,Antofagasta,Sierra Gorda,12892.42
Talagante,-33.6644388,-70.9302778,Metropolitana de Santiago,Talagante,Talagante,125.23
Talca,-35.4265343,-71.6660322,Maule,Talca,Talca,231.92
Talcahuano,-36.7144863,-73.1141087,Biobío,Concepción,Talcahuano,92.56
Taltal,-25.4078293,-70.4858424,Antofagasta,Antofagasta,Taltal,20424.16
Temuco,-38.7358908,-72.590538,La Araucanía,Cautín,Temuco,466.78
Teno,-34.8667952,-71.1612202,Maule,Curicó,Teno,618.44
Teodoro Schmidt,-38.9967454,-73.0891844,La Araucanía,Cautín,Teodoro Schmidt,656.26
Tierra Amarilla,-27.4680505,-70.2649307,Atacama,Copiapó,Tierra Amarilla,11258.48
